Customer ID,Name,Email Address,Age,Location,Income,Occupation,Purchase Date,Laptop Brands,Price,Frequency of Use,Purpose,Previous Brands Owned,Satisfaction Rating,Tech Knowledge Level,Cart Abandonment
70650431,John Tyler,ehaley@example.com,25,Big City,169470,Unemployed/Unskilled,11/26/2022,Asus,1416.844321,Daily,Gaming,Hard.,1,Expert,Yes
38417808,Ana Johnson,hendersonmaria@example.org,43,Big City,285743,Management/self-employed/highly qualified employee/officer,8/14/2022,Asus,642.7817621,Rarely,Work,Actually assume.,1,Advanced,No
32731807,Steven Smith,johndavis@example.net,50,Midsize-City,54796,Management/self-employed/highly qualified employee/officer,3/2/2023,Apple,1593.556018,Rarely,Entertainment,Step.,5,Beginner,No
68748371,Amy Brown,ocobb@example.net,68,Big City,148493,Skilled Employee/official,4/30/2020,Dell,866.4869239,Rarely,Gaming,Green in.,1,Intermediate,No
45107711,Chad Romero,teresa82@example.org,66,Small City,43043,Unemployed/Unskilled,5/14/2021,Lenovo,1177.699519,Daily,Gaming,Nation.,3,Beginner,Yes
44043319,Wendy Sawyer,ryan80@example.com,57,Small City,37619,Management/self-employed/highly qualified employee/officer,2/8/2019,HP,1821.336559,Daily,Entertainment,Book.,4,Beginner,Yes
25190404,Kevin Bauer,tbowen@example.org,57,Big City,94845,Unemployed/Unskilled,10/2/2020,HP,1085.006121,Daily,Gaming,Part.,5,Advanced,Yes
27155579,Arthur Jackson,qthornton@example.com,61,Midsize-City,47843,Unemployed/Unskilled,4/26/2020,Apple,1243.752294,Weekly,Work,Democratic.,1,Intermediate,Yes
21949407,Sarah Crane,fhutchinson@example.org,59,Big City,101125,Unemployed/Unskilled,9/25/2021,Asus,668.3434885,Daily,Entertainment,Human.,5,Expert,Yes
35496792,Nancy Harrison,jessicaramirez@example.com,47,Big City,251598,Skilled Employee/official,6/20/2020,Acer,1130.639795,Weekly,Work,Face measure.,1,Beginner,No
86239123,Maria Gordon,christopheredwards@example.com,22,Small City,43003,Management/self-employed/highly qualified employee/officer,4/17/2023,Acer,1387.353045,Daily,Entertainment,Beat.,5,Expert,Yes
43286859,Melanie Schneider,omoody@example.net,52,Midsize-City,55819,Management/self-employed/highly qualified employee/officer,5/6/2020,Dell,1093.502472,Weekly,Work,Growth pull.,1,Intermediate,Yes
21674076,Jose Morgan DDS,robertsherman@example.net,33,Midsize-City,53299,Management/self-employed/highly qualified employee/officer,6/28/2019,Lenovo,1321.971387,Rarely,Gaming,Heavy.,1,Advanced,No
95790076,Troy Shah,zharris@example.net,36,Midsize-City,62325,Unemployed/Unskilled,7/22/2022,Acer,1933.11309,Rarely,Entertainment,Writer.,4,Intermediate,No
45506787,Matthew Mills,genewoodard@example.org,45,Big City,209086,Skilled Employee/official,11/11/2019,Asus,1614.017337,Rarely,Work,Exactly.,3,Expert,Yes
19761964,Paul Ortiz,gonzalesmark@example.org,32,Big City,199922,Unemployed/Unskilled,7/18/2019,Dell,1782.214371,Rarely,Work,Huge right.,5,Advanced,Yes
54542783,Anita Stafford,jaime76@example.net,27,Midsize-City,66246,Management/self-employed/highly qualified employee/officer,4/9/2022,Asus,1334.9603,Weekly,Work,Check thought.,5,Expert,No
31653156,Natalie Hill,jennifergonzalez@example.com,67,Small City,36927,Unemployed/Unskilled,12/29/2018,Asus,1156.451053,Weekly,Entertainment,Fine tree.,4,Expert,Yes
22328089,Alexis Duncan,theresagay@example.com,31,Midsize-City,60433,Skilled Employee/official,3/16/2023,HP,795.2445181,Rarely,Gaming,Yourself which.,2,Intermediate,Yes
18770120,Elizabeth Cooper,chavezjacqueline@example.org,38,Small City,42599,Skilled Employee/official,10/10/2021,Acer,987.4007234,Daily,Work,Sit.,1,Expert,No
39522738,Joyce Cowan,pquinn@example.com,24,Big City,129257,Skilled Employee/official,11/22/2019,Asus,972.693061,Rarely,Entertainment,Receive many.,4,Beginner,No
95664526,Christina Gordon,kyleconley@example.com,61,Small City,40251,Unemployed/Unskilled,5/6/2021,Apple,1759.436381,Weekly,Gaming,Rule.,4,Beginner,Yes
32205858,Anthony White,richard26@example.org,38,Midsize-City,66374,Unemployed/Unskilled,4/16/2021,HP,1486.634557,Daily,Entertainment,Western figure.,2,Advanced,No
60816411,Kathryn Rivas,sarahallen@example.org,22,Midsize-City,58427,Skilled Employee/official,8/16/2020,Lenovo,1422.290081,Daily,Gaming,Network.,5,Advanced,Yes
94171088,Katherine Thornton,miguel02@example.org,70,Small City,42284,Management/self-employed/highly qualified employee/officer,10/15/2018,Acer,1485.806883,Daily,Gaming,Major prevent.,3,Beginner,Yes
41933715,Robert Doyle,adrienne37@example.com,56,Midsize-City,65460,Skilled Employee/official,10/30/2020,Apple,1299.459124,Rarely,Entertainment,Seven glass.,1,Expert,Yes
84915705,Ashley Khan,rodriguezsuzanne@example.net,45,Big City,147365,Skilled Employee/official,4/15/2021,Dell,1941.091009,Rarely,Work,Risk.,5,Beginner,No
22795625,Chloe Bond,mdrake@example.org,31,Big City,288918,Unemployed/Unskilled,2/4/2020,Lenovo,1524.809578,Daily,Work,Decade.,5,Expert,Yes
76850269,Karen Robinson,inguyen@example.org,25,Small City,38384,Unemployed/Unskilled,12/21/2019,Lenovo,1443.677824,Daily,Work,Past fast.,2,Expert,Yes
59424274,Mary Lopez,andrea08@example.net,22,Small City,36826,Management/self-employed/highly qualified employee/officer,1/6/2020,Lenovo,693.1593105,Weekly,Entertainment,Color agree.,1,Beginner,Yes
53885153,Richard Ward,margaretsanders@example.com,60,Big City,179865,Skilled Employee/official,6/17/2023,Dell,786.1679733,Weekly,Gaming,Wind.,3,Intermediate,Yes
51379113,Robert Butler,rochatiffany@example.net,31,Small City,40914,Management/self-employed/highly qualified employee/officer,6/28/2019,Lenovo,1707.480669,Daily,Gaming,Yourself call.,4,Advanced,Yes
30999039,Michael Jenkins,eholder@example.net,68,Small City,35472,Skilled Employee/official,3/28/2021,Asus,1176.431432,Rarely,Work,Mrs.,2,Expert,Yes
63390033,Jessica Johnston,nicolecarter@example.com,18,Big City,107894,Unemployed/Unskilled,9/6/2021,Dell,653.6361105,Rarely,Entertainment,Watch.,5,Intermediate,Yes
94360731,Molly West,darlene26@example.net,70,Small City,37747,Unemployed/Unskilled,10/19/2021,Dell,1803.521715,Rarely,Entertainment,Forget sure.,1,Advanced,No
41518647,Christopher Hart,aday@example.com,47,Small City,35401,Management/self-employed/highly qualified employee/officer,2/7/2020,Asus,459.0164192,Weekly,Entertainment,Agreement.,3,Intermediate,No
60669919,Brian Watkins,william75@example.org,57,Small City,39925,Skilled Employee/official,11/21/2021,HP,1163.176168,Daily,Work,Travel.,5,Advanced,No
89344973,Steven Ruiz,seth82@example.net,58,Midsize-City,55355,Unemployed/Unskilled,9/19/2019,Apple,1432.403639,Weekly,Entertainment,Good.,4,Intermediate,Yes
93506686,Tony Long DDS,darryl18@example.com,56,Small City,42945,Skilled Employee/official,10/30/2019,Lenovo,1550.902904,Rarely,Gaming,Election of.,1,Expert,No
85017615,Valerie Burns,kevin36@example.com,62,Midsize-City,67182,Management/self-employed/highly qualified employee/officer,4/10/2019,Acer,982.5965984,Rarely,Work,State art.,2,Expert,No
18332581,Mark Hanson,alexander74@example.org,18,Small City,40273,Unemployed/Unskilled,7/9/2021,Lenovo,783.3976322,Rarely,Entertainment,On tonight.,5,Intermediate,Yes
45001534,Amanda Wilson,lisa90@example.com,65,Midsize-City,48843,Management/self-employed/highly qualified employee/officer,6/1/2022,Apple,585.7382292,Weekly,Work,Free similar.,2,Intermediate,Yes
86321642,Pedro Garcia,ortizmackenzie@example.com,68,Small City,37902,Skilled Employee/official,10/8/2019,HP,806.773044,Rarely,Work,Law find.,2,Expert,Yes
83593759,Kenneth Carr,shelley21@example.net,70,Small City,41315,Management/self-employed/highly qualified employee/officer,10/1/2019,Asus,551.2723466,Daily,Gaming,Standard operation.,1,Advanced,Yes
37390498,Gary Wood,carly55@example.com,70,Big City,183041,Skilled Employee/official,1/16/2019,Acer,1745.92672,Rarely,Work,Born.,2,Beginner,No
10246584,Amy Weber,smithvanessa@example.net,50,Small City,40152,Unemployed/Unskilled,5/29/2022,Apple,1157.376721,Daily,Entertainment,By.,5,Intermediate,Yes
76442127,Tyler Allen,johnrivas@example.net,53,Big City,259404,Management/self-employed/highly qualified employee/officer,1/14/2020,Acer,1784.606779,Weekly,Gaming,Financial.,4,Advanced,No
97902018,Stephen Lopez,crystal86@example.com,23,Midsize-City,47118,Management/self-employed/highly qualified employee/officer,6/17/2023,HP,1283.405856,Weekly,Entertainment,On fill.,2,Advanced,Yes
47759331,Yolanda Ortiz,kennethcopeland@example.com,68,Small City,40733,Unemployed/Unskilled,3/5/2021,HP,1547.143867,Weekly,Work,Majority my.,1,Intermediate,No
54787792,Amanda Scott,stephenweiss@example.org,57,Big City,89380,Skilled Employee/official,5/28/2022,Lenovo,1716.383999,Weekly,Entertainment,Treatment her.,1,Expert,Yes
